id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class,item group id,sell on google quantity
WES-ALL-2254517,"Westlake All Season Elite Z-401 225/45 R17","All-season band in de populaire sportmaat 225/45R17. Biedt stabiliteit in de zomer en grip in de winter.",in_stock,,,https://gentbandenservice.be/nl/banden/westlake-225-45-r17,,https://gentbandenservice.be/images/westlake-all-season.jpg,79.99 EUR,,,yes,,,Westlake,"'All-round prestaties', 'Sneeuwvloksymbool aanwezig'","Specificatie:Bandentype:All-season",,new,no,Zwart,225/45 R17,,,,Rubber,,,,no,,,,,,,,
DEL-PER-2056016,"Delmax Performpro 205/60 R16","Comfortabele en betrouwbare zomerband voor de middenklasse. Slijtvast profiel voor veel veilige kilometers.",in_stock,,,https://gentbandenservice.be/nl/banden/delmax-205-60-r16,,https://gentbandenservice.be/images/delmax-performpro.jpg,69.50 EUR,,,yes,,,Delmax,"'Hoge kilometerprestaties', 'Stabiele wegligging'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,205/60 R16,,,,Rubber,,,,no,,,,,,,,
SUP-BLU-2156516,"Superia Bluewin UHP3 215/65 R16","Robuuste winterband voor compacte SUV's. Speciaal lamellenprofiel bijt zich vast in sneeuw en ijzel.",in_stock,,,https://gentbandenservice.be/nl/banden/superia-215-65-r16,,https://gentbandenservice.be/images/superia-bluewin.jpg,72.00 EUR,,,yes,,,Superia,"'Sterke grip op ijs', 'Stabiel op natte snelwegen'","Specificatie:Bandentype:Winterband",,new,no,Zwart,215/65 R16,,,,Rubber,,,,no,,,,,,,,
TRA-ICE-2554018,"Tracmax Ice-Plus S210 255/40 R18","Brede high-performance winterband voor krachtige auto's. Behoudt perfecte controle bij ijzel.",in_stock,,,https://gentbandenservice.be/nl/banden/tracmax-255-40-r18,,https://gentbandenservice.be/images/tracmax-ice-plus.jpg,115.00 EUR,,,yes,,,Tracmax,"'Brede sportieve winterband', 'Extra Load (XL) versterkt'","Specificatie:Bandentype:Winterband",,new,no,Zwart,255/40 R18,,,,Rubber,,,,no,,,,,,,,
HAN-KIN-1756514,"Hankook Kinergy 4S2 H750 175/65 R14","Perfecte all-season band voor kleinere voertuigen. Veilig het hele jaar door zonder bandenwissel.",in_stock,,,https://gentbandenservice.be/nl/banden/hankook-175-65-r14,,https://gentbandenservice.be/images/hankook-kinergy.jpg,59.99 EUR,,,yes,,,Hankook,"'Geen bandenwissel meer nodig', 'Veilig bij onverwachte sneeuw'","Specificatie:Bandentype:All-season",,new,no,Zwart,175/65 R14,,,,Rubber,,,,no,,,,,,,,
PIR-CIN-1856015,"Pirelli Cinturato P7 185/60 R15","Premium stadsband met de befaamde Pirelli-kwaliteit. Focus op veiligheid, controle en geluidsreductie.",in_stock,,,https://gentbandenservice.be/nl/banden/pirelli-185-60-r15,,https://gentbandenservice.be/images/pirelli-cinturato-p7.jpg,88.50 EUR,,,yes,,,Pirelli,"'Lager rolgeluid', 'Uitstekende remkracht'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,185/60 R15,,,,Rubber,,,,no,,,,,,,,
WIN-CAT-2156017,"Windforce Catchfors UHP PRO 215/60 R17","Zomerband voor cross-overs. Biedt een perfecte balans tussen rijcomfort en sportieve directheid.",in_stock,,,https://gentbandenservice.be/nl/banden/windforce-215-60-r17,,https://gentbandenservice.be/images/windforce-catchfors.jpg,78.00 EUR,,,yes,,,Windforce,"'Comfortabel rijgedrag', 'Diepe watergroeven'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,215/60 R17,,,,Rubber,,,,no,,,,,,,,
WES-ALL-2155517,"Westlake All Season Elite Z-401 215/55 R17","All-season band ontworpen voor moderne gezinswagens. Optimaal rijgedrag in zowel de zomer als de winter.",in_stock,,,https://gentbandenservice.be/nl/banden/westlake-215-55-r17,,https://gentbandenservice.be/images/westlake-all-season.jpg,84.50 EUR,,,yes,,,Westlake,"'M+S en 3PMSF gecertificeerd', 'Stabiel weggedrag'","Specificatie:Bandentype:All-season",,new,no,Zwart,215/55 R17,,,,Rubber,,,,no,,,,,,,,
DEL-PER-2255017,"Delmax Performpro 225/50 R17","Zomerband met een asymmetrisch profiel voor een betere grip in snelle bochten op droog wegdek.",in_stock,,,https://gentbandenservice.be/nl/banden/delmax-225-50-r17,,https://gentbandenservice.be/images/delmax-performpro.jpg,74.00 EUR,,,yes,,,Delmax,"'Asymmetrisch profiel', 'Goede grip op droog wegdek'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,225/50 R17,,,,Rubber,,,,no,,,,,,,,
SUP-BLU-2255517,"Superia Bluewin UHP3 225/55 R17","High-performance winterband voor zakelijke sedans. Biedt maximaal comfort en veiligheid op sneeuw en slush.",in_stock,,,https://gentbandenservice.be/nl/banden/superia-225-55-r17,,https://gentbandenservice.be/images/superia-bluewin.jpg,81.00 EUR,,,yes,,,Superia,"'Geluidsarme winterband', 'Hoge tractie op sneeuw'","Specificatie:Bandentype:Winterband",,new,no,Zwart,225/55 R17,,,,Rubber,,,,no,,,,,,,,
TRA-ICE-2055516,"Tracmax Ice-Plus S210 205/55 R16","De meest gekozen winterbandmaat (205/55R16) van Tracmax. Uitstekende betaalbare winterveiligheid.",in_stock,,,https://gentbandenservice.be/nl/banden/tracmax-205-55-r16,,https://gentbandenservice.be/images/tracmax-ice-plus.jpg,64.50 EUR,,,yes,,,Tracmax,"'Meest populaire wintermaat', 'Voordelig en veilig'","Specificatie:Bandentype:Winterband",,new,no,Zwart,205/55 R16,,,,Rubber,,,,no,,,,,,,,
HAN-KIN-1956515,"Hankook Kinergy 4S2 H750 195/65 R15","All-season band voor de ultieme comfort-rijder. Slijtvast rubber met uitstekende recensies.",in_stock,,,https://gentbandenservice.be/nl/banden/hankook-195-65-r15,,https://gentbandenservice.be/images/hankook-kinergy.jpg,68.90 EUR,,,yes,,,Hankook,"'Uitstekende testresultaten', 'Duurzaam rubbermengsel'","Specificatie:Bandentype:All-season",,new,no,Zwart,195/65 R15,,,,Rubber,,,,no,,,,,,,,
PIR-CIN-2254517,"Pirelli Cinturato P7 225/45 R17","Premium sportieve zomerband. Garandeert een korte remweg en superieure controle in scherpe bochten.",in_stock,,,https://gentbandenservice.be/nl/banden/pirelli-225-45-r17,,https://gentbandenservice.be/images/pirelli-cinturato-p7.jpg,99.00 EUR,,,yes,,,Pirelli,"'Korte remweg', 'Maximale controle in bochten'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,225/45 R17,,,,Rubber,,,,no,,,,,,,,
WIN-CAT-2056016,"Windforce Catchfors UHP PRO 205/60 R16","Betrouwbare budget zomerband met lage rolweerstand voor lagere brandstofkosten.",in_stock,,,https://gentbandenservice.be/nl/banden/windforce-205-60-r16,,https://gentbandenservice.be/images/windforce-catchfors.jpg,59.50 EUR,,,yes,,,Windforce,"'Lage rolweerstand', 'Budgetvriendelijke zomerband'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,205/60 R16,,,,Rubber,,,,no,,,,,,,,
WES-ALL-1955516,"Westlake All Season Elite Z-401 195/55 R16","Veilige vierseizoenenband voor dagelijks woon-werkverkeer. Presteert stabiel bij plotselinge temperatuurwisselingen.",in_stock,,,https://gentbandenservice.be/nl/banden/westlake-195-55-r16,,https://gentbandenservice.be/images/westlake-all-season.jpg,71.00 EUR,,,yes,,,Westlake,"'Stabiel bij temperatuurwissels', 'Goede waterafvoer'","Specificatie:Bandentype:All-season",,new,no,Zwart,195/55 R16,,,,Rubber,,,,no,,,,,,,,
